year,hours_spouse,Spouse_labor_status,Marital_status,industry_code,Rs census occupation code (2010),Ever work as long as one year,hours_self,Labor force status,ID,Ballot used for interview
1973,Not applicable,Not applicable,Divorced,"Electronic component and product manufacturing, n.e.c.","Inspectors, testers, sorters, samplers, and weighers",Not applicable,40,Temp not working,80,Not applicable
1973,Not applicable,Not applicable,Never married,Services incidental to transportation,Driver/sales workers and truck drivers,Not applicable,40,Temp not working,124,Not applicable
1973,Not applicable,Keeping house,Married,Radio and television broadcasting and cable subscription programming,"Engineering technicians, except drafters",Not applicable,55,Temp not working,164,Not applicable
1973,Not applicable,Not applicable,Never married,Waste management and remediation services,Refuse and recyclable material collectors,Not applicable,40,Temp not working,172,Not applicable
1973,Not applicable,Keeping house,Married,"Electric power generation, transmission, and distribution",Human resources managers,Not applicable,40,Temp not working,211,Not applicable
1973,Not applicable,Keeping house,Married,Grocery stores,Driver/sales workers and truck drivers,Not applicable,55,Temp not working,286,Not applicable
1973,Not applicable,Not applicable,Never married, restaurants and other food services,Waiters and waitresses,Not applicable,15,Temp not working,327,Not applicable
1973,Not applicable,Not applicable,Widowed,"Construction, and mining and oil and gas field machinery manufacturing    ","Inspectors, testers, sorters, samplers, and weighers",Not applicable,40,Temp not working,328,Not applicable
1973,Not applicable,Not applicable,Never married,Cut and sew apparel manufacturing,Sewing machine operators,Not applicable,40,Temp not working,338,Not applicable
1973,Not applicable,Working fulltime,Married,U.s. marine corps,"Military, rank not specified",Not applicable,56,Temp not working,345,Not applicable
1973,Not applicable,Not applicable,Divorced,Grocery stores,Secretaries and administrative assistants,Not applicable,40,Temp not working,377,Not applicable
1973,Not applicable,Working fulltime,Married,Legal services,Lawyers,Not applicable,50,Temp not working,380,Not applicable
1973,Not applicable,Keeping house,Married,Insurance carriers and related activities,Insurance sales agents,Not applicable,10,Temp not working,400,Not applicable
1973,Not applicable,Keeping house,Married,Motor vehicles and motor vehicle equipment manufacturing,Uncodeable,Not applicable,40,Temp not working,458,Not applicable
1973,Not applicable,Not applicable,Never married,Motion pictures and video industries,Broadcast and sound engineering technicians and radio,Not applicable,40,Temp not working,463,Not applicable
